"","timestamp","ETH_Close","BTC_Close","breakeven_inflation","BTC_Energy","ETH_Energy"
"136",2021-01-05,1099.56,33949.53,2.01,77.78218074,15.31699761
"137",2021-01-04,1041.43,31988.71,1.98,77.78218074,15.20096885
"138",2021-01-01,728.91,29331.69,1.95,77.78218074,14.71502256
"139",2020-12-31,736.42,28923.63,1.95,77.78218074,14.63882425
"140",2020-12-30,752.17,28875.54,1.92,77.78218074,14.5477136
"141",2020-12-29,732,27385,1.9,77.78218074,14.43135083
"142",2020-12-28,730.41,27079.41,1.92,77.78218074,14.35285814
"143",2020-12-25,626.82,24712.47,1.91,77.78218074,14.14012077
"144",2020-12-24,612.31,23729.2,1.92,77.78218074,14.07858969
"145",2020-12-23,585.56,23232.76,1.93,77.78218074,14.01359095
"146",2020-12-22,636.45,23810.79,1.92,77.78218074,13.95028093
"147",2020-12-21,607.58,22719.71,1.9,77.78218074,13.89452888
"148",2020-12-18,653.85,23107.39,1.92,77.78218074,13.7177019
"149",2020-12-17,642.7,22797.16,1.9,77.78218074,13.65257748
"150",2020-12-16,637.18,21335.52,1.9,77.78218074,13.58012165
"151",2020-12-15,588.64,19426.43,1.86,77.78218074,13.52601824
"152",2020-12-14,586.29,19273.14,1.84,77.78218074,13.47731723
"153",2020-12-11,544.43,18036.53,1.82,77.78218074,13.36751501
"154",2020-12-10,558.99,18254.63,1.83,77.78218074,13.32099034
"155",2020-12-09,573.09,18541.28,1.84,77.78218074,13.28443416
"156",2020-12-08,554.94,18324.11,1.84,77.78218074,13.24372797
"157",2020-12-07,591.28,19166.9,1.84,77.78218074,13.20483359
"158",2020-12-04,567.24,18650.52,1.83,77.78218074,13.08673331
"159",2020-12-03,615.85,19421.9,1.78,77.78218074,13.04207807
"160",2020-12-02,596.89,19204.09,1.76,77.78218074,12.99675581
"161",2020-12-01,585.26,18764.96,1.72,77.78218074,12.93659385
"162",2020-11-30,616.66,19695.87,1.68,77.78218074,12.87408609
"163",2020-11-27,518.68,17139.52,1.67,77.78218074,12.74476982
"164",2020-11-26,519.83,17149.47,1.65,77.78218074,12.70149978
"165",2020-11-25,569.5,18719.11,1.67,77.78218074,12.63739803
"166",2020-11-24,604.97,19160.01,1.65,77.78218074,12.58198033
