timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-06-21,230553.82095400,231524.15000000,202389.21572600,204705.75246600,35600.17000000,35750.00000000,31251.23000000,31608.93000000,168778.87315900,168778.87315900
2021-06-20,229799.66746400,234035.10226400,215890.60320000,230553.75619200,35483.72000000,36137.72000000,33336.00000000,35600.16000000,89878.17085000,89878.17085000
2021-06-19,231980.59257600,236102.82340000,225394.55622400,229799.66746400,35820.48000000,36457.00000000,34803.52000000,35483.72000000,68712.44946100,68712.44946100
2021-06-18,246697.69231400,247409.23240800,227504.30789800,231976.44780800,38092.97000000,38202.84000000,35129.29000000,35819.84000000,95228.04293500,95228.04293500
2021-06-17,248355.79380000,256197.69485600,241983.21300000,246697.69231400,38349.00000000,39559.88000000,37365.00000000,38092.97000000,79541.30711900,79541.30711900
2021-06-16,259979.27756000,262461.86406800,246846.90396200,248355.85856200,40143.80000000,40527.14000000,38116.01000000,38349.01000000,87771.97693700,87771.97693700
2021-06-15,262391.53253600,267661.34600000,255851.34768000,259980.83184800,40516.28000000,41330.00000000,39506.40000000,40144.04000000,80679.62283800,80679.62283800
2021-06-14,252704.95067200,265939.00061000,250823.22600000,262391.59729800,39020.56000000,41064.05000000,38730.00000000,40516.29000000,108522.39194900,108522.39194900
2021-06-13,230203.78234400,255032.75600000,225093.28340000,252705.01543400,35546.12000000,39380.00000000,34757.00000000,39020.57000000,86921.02555500,86921.02555500
2021-06-12,241769.36887600,242621.96060600,224078.85143200,230203.71758200,37331.98000000,37463.63000000,34600.36000000,35546.11000000,87717.54999000,87717.54999000
2021-06-11,237532.96264600,244025.80648000,232733.70987400,241769.36887600,36677.83000000,37680.40000000,35936.77000000,37331.98000000,78466.00530000,78466.00530000
2021-06-10,242132.48941000,249275.41420000,231731.38840000,237519.29786400,37388.05000000,38491.00000000,35782.00000000,36675.72000000,109527.28494300,109527.28494300
2021-06-09,216180.73696000,243082.80699800,209808.28568400,242132.48941000,33380.80000000,37534.79000000,32396.82000000,37388.05000000,136607.59751700,136607.59751700
2021-06-08,217321.58435200,220631.24636200,200762.20000000,216180.80172200,33556.96000000,34068.01000000,31000.00000000,33380.81000000,123251.18903700,123251.18903700
2021-06-07,231824.06282200,238971.78000000,215657.46000000,217294.57859800,35796.31000000,36900.00000000,33300.00000000,33552.79000000,77574.95257300,77574.95257300
2021-06-06,230009.17253400,236251.77600000,228104.71640000,231824.06282200,35516.07000000,36480.00000000,35222.00000000,35796.31000000,47650.20663700,47650.20663700
2021-06-05,238512.94123000,245609.88500000,225371.76000000,229990.58584000,36829.15000000,37925.00000000,34800.00000000,35513.20000000,70459.62149000,70459.62149000
2021-06-04,254169.99663600,254443.87513400,230262.26243000,238511.96980000,39246.78000000,39289.07000000,35555.15000000,36829.00000000,91317.79924500,91317.79924500
2021-06-03,243302.28541600,255654.47120000,240720.35400000,254170.06139800,37568.68000000,39476.00000000,37170.00000000,39246.79000000,75889.10601100,75889.10601100
2021-06-02,237643.18757000,247552.74500000,232625.10400000,243302.28541600,36694.85000000,38225.00000000,35920.00000000,37568.68000000,67587.37249500,67587.37249500
2021-06-01,241263.18908400,245414.36852200,230980.14920000,237631.78945800,37253.82000000,37894.81000000,35666.00000000,36693.09000000,81234.66377000,81234.66377000
2021-05-31,230819.92801200,242851.02380000,221187.09860800,241263.12432200,35641.26000000,37499.00000000,34153.84000000,37253.81000000,94160.73528900,94160.73528900
2021-05-30,224109.87243000,236303.58560000,216169.07980000,230819.99277400,34605.15000000,36488.00000000,33379.00000000,35641.27000000,73535.38696700,73535.38696700
2021-05-29,230952.88439800,241812.11179600,217812.48031200,224109.87243000,35661.79000000,37338.58000000,33632.76000000,34605.15000000,112663.09268900,112663.09268900
2021-05-28,249527.92123800,251780.60264600,224620.52080000,230963.89393800,38529.99000000,38877.83000000,34684.00000000,35663.49000000,135377.62972000,135377.62972000
2021-05-27,254138.52230400,261710.62486800,240488.95937400,249527.85647600,39241.92000000,40411.14000000,37134.27000000,38529.98000000,86547.15879400,86547.15879400
2021-05-26,248198.55166400,264494.48420000,244803.20952800,254138.45754200,38324.72000000,40841.00000000,37800.44000000,39241.91000000,104780.77339600,104780.77339600
2021-05-25,251347.73343800,257699.46087400,235860.74304400,248198.55166400,38810.99000000,39791.77000000,36419.62000000,38324.72000000,111996.22840400,111996.22840400
2021-05-24,224603.94172800,258529.90400000,220391.56220000,251252.53329800,34681.44000000,39920.00000000,34031.00000000,38796.29000000,161630.89397100,161630.89397100
2021-05-23,242588.80246200,247848.31876800,201481.12296200,224434.33005000,37458.51000000,38270.64000000,31111.01000000,34655.25000000,217136.04659300,217136.04659300
2021-05-22,241324.90727000,251464.36980000,227966.25524400,242531.94142600,37263.35000000,38829.00000000,35200.62000000,37449.73000000,126542.24368900,126542.24368900
2021-05-21,262450.53071800,273295.64000000,216874.98560000,241251.46716200,40525.39000000,42200.00000000,33488.00000000,37252.01000000,202100.88825800,202100.88825800
2021-05-20,237490.21972600,274925.50525400,225695.57000000,262458.62596800,36671.23000000,42451.67000000,34850.00000000,40526.64000000,203017.59692300,203017.59692300
2021-05-19,277503.74523600,282264.52938000,194286.00000000,237612.36085800,42849.78000000,43584.90000000,30000.00000000,36690.09000000,354347.24316100,354347.24316100
2021-05-18,281960.92512400,296605.36189800,273619.57952400,277503.74523600,43538.02000000,45799.29000000,42250.02000000,42849.78000000,116979.86078400,116979.86078400
2021-05-17,300669.43644600,302347.87320000,272006.87620000,281961.05464800,46426.83000000,46686.00000000,42001.00000000,43538.04000000,166657.17273600,166657.17273600
2021-05-16,302846.47583800,322488.14281800,283821.99071800,300699.68030000,46762.99000000,49795.89000000,43825.39000000,46431.50000000,114269.81277500,114269.81277500
2021-05-15,322800.74899200,328343.34000000,301499.49100000,302846.47583800,49844.16000000,50700.00000000,46555.00000000,46762.99000000,89437.44935900,89437.44935900
2021-05-14,321685.28830400,333414.20460000,316036.94095000,322783.19849000,49671.92000000,51483.00000000,48799.75000000,49841.45000000,80082.20430600,80082.20430600
2021-05-13,320812.49083000,332664.19587800,297905.20000000,321679.13591400,49537.15000000,51367.19000000,46000.00000000,49670.97000000,147332.00212100,147332.00212100
2021-05-12,367006.38352400,375619.66476200,314743.32000000,321422.35458400,56670.02000000,58000.01000000,48600.00000000,49631.32000000,99842.78983600,99842.78983600
2021-05-11,361476.48586800,368252.46916600,352110.99400000,367006.38352400,55816.14000000,56862.43000000,54370.00000000,56670.02000000,64329.54055000,64329.54055000
2021-05-10,377179.26324600,385333.90000000,345829.08000000,361476.48586800,58240.83000000,59500.00000000,53400.00000000,55816.14000000,89586.34925000,89586.34925000
2021-05-09,381231.42158600,384038.66000000,364193.38129200,377179.32800800,58866.53000000,59300.00000000,56235.66000000,58240.84000000,69806.11991000,69806.11991000
2021-05-08,371186.57633800,385333.90000000,368495.78000000,381202.40821000,57315.49000000,59500.00000000,56900.00000000,58862.05000000,69709.90602800,69709.90602800
2021-05-07,365216.75041600,379829.13000000,357755.84420600,371181.78395000,56393.68000000,58650.00000000,55241.63000000,57314.75000000,74542.74782900,74542.74782900
2021-05-06,371967.73558200,377951.03200000,357486.24000000,365216.75041600,57436.11000000,58360.00000000,55200.00000000,56393.68000000,70181.67190800,70181.67190800
2021-05-05,344566.54481000,376071.76828400,342590.98000000,371967.73558200,53205.05000000,58069.82000000,52900.00000000,57436.11000000,77263.92343900,77263.92343900
2021-05-04,370240.40351800,370438.64000000,343540.97377800,344533.90476200,57169.39000000,57200.00000000,53046.69000000,53200.01000000,85324.62590300,85324.62590300
2021-05-03,366411.80360200,381975.60172800,365484.34700000,370240.40351800,56578.21000000,58981.44000000,56435.00000000,57169.39000000,57649.93128600,57649.93128600
2021-05-02,374307.19807000,375043.34772400,362895.48605000,366411.80360200,57797.35000000,57911.02000000,56035.25000000,56578.21000000,36812.87886300,36812.87886300
2021-05-01,373658.93045000,378586.15293400,368859.35386800,374326.75619400,57697.25000000,58458.07000000,56956.14000000,57800.37000000,42600.35183600,42600.35183600
2021-04-30,346832.89100000,375379.98060000,343322.85536200,373639.63137400,53555.00000000,57963.00000000,53013.01000000,57694.27000000,68578.91004500,68578.91004500
2021-04-29,355195.15472600,357459.29900800,338905.63362800,346832.89100000,54846.23000000,55195.84000000,52330.94000000,53555.00000000,52486.01945500,52486.01945500
2021-04-28,356268.52011400,365439.01360000,348504.78679200,355195.08996400,55011.97000000,56428.00000000,53813.16000000,54846.22000000,55130.45901500,55130.45901500
2021-04-27,349723.73715600,359170.05200000,344676.31640000,356268.52011400,54001.38000000,55460.00000000,53222.00000000,55011.97000000,54064.03467500,54064.03467500
2021-04-26,317766.15111200,352024.34244400,315737.02812800,349723.80191800,49066.76000000,54356.62000000,48753.44000000,54001.39000000,86310.80212400,86310.80212400
2021-04-25,324119.82140800,327487.89874200,303928.06600000,317766.21587400,50047.84000000,50567.91000000,46930.00000000,49066.77000000,58255.64500400,58255.64500400
2021-04-24,331002.20867200,331362.67396400,315113.37006800,324119.82140800,51110.56000000,51166.22000000,48657.14000000,50047.84000000,55361.51257300,55361.51257300
2021-04-23,334760.93039000,337616.28697000,307619.50000000,331096.63166800,51690.95000000,52131.85000000,47500.00000000,51125.14000000,132230.78071900,132230.78071900
2021-04-22,348339.38464400,359568.20877600,327048.10000000,334760.99515200,53787.62000000,55521.48000000,50500.00000000,51690.96000000,104656.63133700,104656.63133700
2021-04-21,365419.58500000,367575.57674200,346709.97272400,348339.44940600,56425.00000000,56757.91000000,53536.02000000,53787.63000000,66984.75690900,66984.75690900
2021-04-20,360291.34126800,369637.14548800,345375.48695200,365419.58500000,55633.14000000,57076.24000000,53329.96000000,56425.00000000,72744.48215100,72744.48215100
2021-04-19,363638.69476200,372555.12692200,351149.79639600,360291.34126800,56150.01000000,57526.81000000,54221.58000000,55633.14000000,78229.04226700,78229.04226700
2021-04-18,388615.19625400,391803.62380000,329841.28506000,363638.69476200,60006.67000000,60499.00000000,50931.30000000,56150.01000000,124882.13182400,124882.13182400
2021-04-17,397216.49652200,404801.68101000,385857.88934200,388615.13149200,61334.81000000,62506.05000000,59580.91000000,60006.66000000,58912.25612800,58912.25612800
2021-04-16,409028.63198800,411372.17448200,388572.00000000,397216.43176000,63158.74000000,63520.61000000,60000.00000000,61334.80000000,91764.13988400,91764.13988400
2021-04-15,407738.50818600,413181.56000000,401653.92400000,409036.66247600,62959.53000000,63800.00000000,62020.00000000,63159.98000000,51649.70034000,51649.70034000
2021-04-14,411724.47976200,420007.47480000,396997.53620000,407738.50818600,63575.01000000,64854.00000000,61301.00000000,62959.53000000,82616.34399300,82616.34399300
2021-04-13,387665.39676200,413037.59407400,387310.11243000,411724.41500000,59860.01000000,63777.77000000,59805.15000000,63575.00000000,82848.68874600,82848.68874600
2021-04-12,388564.22856000,396991.06000000,384366.29095800,387665.33200000,59998.80000000,61300.00000000,59350.59000000,59860.00000000,56375.03711700,56375.03711700
2021-04-11,387076.83970600,393098.86380000,383601.64602400,388587.73716600,59769.13000000,60699.00000000,59232.52000000,60002.43000000,41156.71539100,41156.71539100
2021-04-10,376542.78231000,398286.30000000,374972.04476200,387076.83970600,58142.55000000,61500.00000000,57900.01000000,59769.13000000,69906.42411700,69906.42411700
2021-04-09,376121.63502400,381415.15138000,373378.83480000,376542.71754800,58077.52000000,58894.90000000,57654.00000000,58142.54000000,40831.88491100,40831.88491100
2021-04-08,362365.66812800,376612.46622200,360724.34000000,376121.63502400,55953.44000000,58153.31000000,55700.00000000,58077.52000000,44283.14701900,44283.14701900
2021-04-07,375555.03228600,379861.51100000,359254.24260000,362365.73289000,57990.03000000,58655.00000000,55473.00000000,55953.45000000,71228.40565900,71228.40565900
2021-04-06,382937.64123800,385303.07328800,371818.20012400,375562.28563000,59129.99000000,59495.24000000,57413.02000000,57991.15000000,54201.00072700,54201.00072700
2021-04-05,376927.85716200,383857.32640000,367704.19407400,382937.64123800,58202.01000000,59272.00000000,56777.77000000,59129.99000000,54258.01579000,54258.01579000
2021-04-04,369479.83859000,378811.39517000,365179.96560000,376927.85716200,57051.95000000,58492.85000000,56388.00000000,58202.01000000,41314.08197300,41314.08197300
2021-04-03,381772.05476200,387223.13706400,368366.25600000,369479.77382800,58950.01000000,59791.72000000,56880.00000000,57051.94000000,47409.85211300,47409.85211300
2021-04-02,380285.37829000,389867.24000000,378395.10503400,381772.05476200,58720.45000000,60200.00000000,58428.57000000,58950.01000000,47382.41878100,47382.41878100
2021-04-01,380408.49085200,385269.13800000,375201.56129000,380285.31352800,58739.46000000,59490.00000000,57935.45000000,58720.44000000,47415.61722000,47415.61722000
2021-03-31,380454.53663400,387276.76000000,367647.39780000,380415.54991000,58746.57000000,59800.00000000,56769.00000000,58740.55000000,60975.54266600,60975.54266600
2021-03-30,373258.76605200,384479.04160000,369605.47687000,380454.53663400,57635.46000000,59368.00000000,57071.35000000,58746.57000000,55122.44312200,55122.44312200
2021-03-29,361227.21693000,378247.77148400,354895.82476200,373258.83081400,55777.65000000,58405.82000000,54800.01000000,57635.47000000,67857.93739800,67857.93739800
2021-03-28,361482.96206800,366292.25295000,354195.29420800,361227.08740600,55817.14000000,56559.75000000,54691.84000000,55777.63000000,39050.38751100,39050.38751100
2021-03-27,356356.72595800,367202.87143200,349390.99000000,361482.96206800,55025.59000000,56700.36000000,53950.00000000,55817.14000000,50105.47505500,50105.47505500
2021-03-26,332188.77803600,356666.74165200,331675.99252000,356356.72595800,51293.78000000,55073.46000000,51214.60000000,55025.59000000,63813.77469200,63813.77469200
2021-03-25,338728.96289200,345097.26940000,326578.96407200,332188.77803600,52303.66000000,53287.00000000,50427.56000000,51293.78000000,87400.53453800,87400.53453800
2021-03-24,351934.84136000,370438.64000000,334819.54000000,338728.89813000,54342.80000000,57200.00000000,51700.00000000,52303.65000000,83537.46502100,83537.46502100
2021-03-23,350253.94365000,361572.07458000,343238.60000000,351922.47181800,54083.25000000,55830.90000000,53000.00000000,54340.89000000,59789.36542700,59789.36542700
2021-03-22,371420.17287200,378409.09362600,347448.13000000,350253.94365000,57351.56000000,58430.73000000,53650.00000000,54083.25000000,62581.62616900,62581.62616900
2021-03-21,376267.34952400,379434.72942000,359106.00238200,371420.17287200,58100.02000000,58589.10000000,55450.11000000,57351.56000000,48564.47027400,48564.47027400
2021-03-20,375813.95076200,387794.85600000,374454.98495400,376281.98573600,58030.01000000,59880.00000000,57820.17000000,58102.28000000,44476.94177600,44476.94177600
2021-03-19,373294.64420000,385126.66160000,364420.56638800,375813.95076200,57641.00000000,59468.00000000,56270.74000000,58030.01000000,52392.65296100,52392.65296100
2021-03-18,381532.17631400,389413.71171400,369292.35260000,373341.01379200,58912.97000000,60129.97000000,57023.00000000,57648.16000000,66580.40667500,66580.40667500
2021-03-17,368500.57238800,381932.14642600,350515.84117800,381532.17631400,56900.74000000,58974.73000000,54123.69000000,58912.97000000,70421.62084100,70421.62084100
2021-03-16,360110.39624000,368743.75369800,344995.85210800,368500.63715000,55605.20000000,56938.29000000,53271.34000000,56900.75000000,77986.69435500,77986.69435500
2021-03-15,381940.88929600,392674.21936600,353600.52000000,360110.39624000,58976.08000000,60633.43000000,54600.00000000,55605.20000000,102771.42729800,102771.42729800
2021-03-14,396268.18655600,399742.08499800,381880.66063600,381890.56922200,61188.38000000,61724.79000000,58966.78000000,58968.31000000,52601.05275000,52601.05275000
2021-03-13,370579.30306400,400514.11280000,363173.83312600,396268.25131800,57221.72000000,61844.00000000,56078.23000000,61188.39000000,83245.09134600,83245.09134600
2021-03-12,374150.47403000,376147.47506200,355950.34440800,370579.30306400,57773.15000000,58081.51000000,54962.84000000,57221.72000000,73405.40604700,73405.40604700
2021-03-11,361706.06715800,376591.03000000,351481.63688400,374150.53879200,55851.59000000,58150.00000000,54272.82000000,57773.16000000,81914.81285900,81914.81285900
2021-03-10,355379.33785400,371654.15797800,343270.98100000,361706.06715800,54874.67000000,57387.69000000,53005.00000000,55851.59000000,84749.23894300,84749.23894300
2021-03-09,339192.14071600,355510.99900000,335398.57704200,355442.99890000,52375.18000000,54895.00000000,51789.41000000,54884.50000000,71656.73707600,71656.73707600
2021-03-08,330021.38818200,339370.88383600,319112.61785400,339192.07595400,50959.11000000,52402.78000000,49274.67000000,52375.17000000,66987.35966400,66987.35966400
2021-03-07,316570.90364000,333200.68428600,316570.90364000,330103.24735000,48882.20000000,51450.03000000,48882.20000000,50971.75000000,55235.02803200,55235.02803200
2021-03-06,315694.09092200,318629.04000000,304834.73400000,316570.90364000,48746.81000000,49200.00000000,47070.00000000,48882.20000000,44399.23424200,44399.23424200
2021-03-05,313280.28165800,320241.16046600,299848.06000000,315725.82430200,48374.09000000,49448.93000000,46300.00000000,48751.71000000,78192.49637200,78192.49637200
2021-03-04,326072.58999400,335298.00165600,307619.50000000,313280.28165800,50349.37000000,51773.88000000,47500.00000000,48374.09000000,82649.71682900,82649.71682900
